ID,item_cnt_month
0,1.2160623
1,1.1909871
2,1.3042015
3,12.473964
4,1.2096428
5,1.2212003
6,1.5646429
7,1.2552332
8,1.1909871
9,1.2852646
10,1.2298473
11,1.2275977
12,1.236727
13,1.1721156
14,1.1725025
15,1.1808542
16,1.1205523
17,1.236727
18,1.2307073
19,1.2365884
20,1.2174419
21,1.229552
22,1.1951487
23,1.1290417
24,1.2147818
25,1.2499788
26,1.1906248
27,1.2746185
28,2.5076003
29,1.2365255
30,1.2421886
31,1.2421886
32,1.2765658
33,1.2765658
34,1.1327987
35,1.2365255
36,1.2365255
37,1.2765658
38,1.2074997
39,1.2074997
40,1.2074997
41,1.1951487
42,1.1951487
43,1.1951487
44,1.2074997
45,1.2074997
46,1.2074997
47,1.2074997
48,1.2074997
49,1.2074997
50,1.2074997
51,1.2074997
52,1.2411728
53,1.2074997
54,1.2651082
55,1.3016133
56,1.1187632
57,1.2955459
58,1.1325967
59,1.2039392
60,1.2955459
61,1.2955459
62,1.1325967
63,1.2489043
64,1.2489043
65,1.1932158
66,1.150588
67,1.150588
68,1.7820626
69,1.1565048
70,1.2211683
71,1.3197211
72,1.137327
73,1.1615691
74,1.1563115
75,1.2039392
76,1.2159847
77,1.1879388
78,1.2955459
79,1.3363068
80,1.196356
81,1.1733576
82,1.2447001
83,1.3604819
84,1.1510996
85,1.1510996
86,1.2107643
87,1.1852318
88,1.2384396
89,1.2384396
90,1.1650887
91,1.1734403
92,1.2384396
93,1.1650887
94,1.2291529
95,1.2679785
96,1.3708211
97,1.1510996
98,1.1596817
99,1.5662277
100,1.2945325
101,1.3704053
102,1.1671774
103,1.2665094
104,1.1671774
105,1.2217106
106,1.2217106
107,1.2344028
108,1.2217106
109,1.2217106
110,3.810722
111,1.3623303
112,1.3559365
113,1.4128916
114,1.1594512
115,1.1764045
116,1.2522163
117,1.2159847
118,1.2215289
119,1.1046075
120,1.1046075
121,1.1046075
122,1.1046075
123,1.1046075
124,1.1046075
125,1.1046075
126,1.1046075
127,1.2250793
128,1.2388347
129,1.2162178
130,1.1289761
131,1.2137793
132,2.4692602
133,1.2767446
134,1.1046075
135,1.3322569
136,3.0088763
137,3.0088763
138,2.3094862
139,2.3094862
140,1.2118804
141,1.2118804
142,1.2256359
143,1.2118804
144,1.2278099
145,1.2278099
146,1.2278099
147,1.2107438
148,1.2641085
149,1.1514385
150,1.2005819
151,1.2118804
152,1.3477068
153,1.2417423
154,1.2145022
155,1.2051121
156,1.1850094
157,1.3614271
158,1.3614271
159,1.5396444
160,1.2882261
161,1.2417423
162,1.2452654
163,1.2981368
164,1.2533163
165,1.0787945
166,1.3474519
167,1.2139302
168,1.3000828
169,1.2300986
170,1.2417423
171,1.2591693
172,1.2804954
173,1.2994715
174,1.2767446
175,1.3477068
176,1.2767446
177,1.2304447
178,1.2043535
179,1.2584081
180,1.2338833
181,1.2381659
182,1.1459093
183,1.1459093
184,1.1972778
185,1.2591693
186,1.2729248
187,1.3112538
188,1.3112538
189,1.3112538
190,1.1703777
191,1.1703777
192,1.1974932
193,1.1551719
194,1.1703777
195,1.2391207
196,1.3251822
197,1.2039237
198,1.2039237
199,1.2528019
200,1.3089005
201,1.2528019
202,1.1686959
203,1.2357584
204,1.3658463
205,1.1764045
206,1.3658463
207,1.1518096
208,1.2005614
209,1.1703777
210,1.1703777
211,1.2159847
212,1.1974932
213,1.1974932
214,1.3692086
215,1.1703777
216,1.1703777
217,1.1703777
218,1.1703777
219,1.1709642
220,1.2357584
221,1.1920286
222,1.25943
223,1.1957113
224,1.1794797
225,1.25943
226,1.1506295
227,1.166861
228,1.8289853
229,1.1944195
230,1.1844572
231,1.0926876
232,1.2450244
233,1.2173462
234,1.8064662
235,1.6276532
236,1.2364283
